,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
275,RB,Travaris Cadet,3000,ATL@NYJ 10/29/2017 01:00PM ET,1.9669999999999999,NYJ,00-0029205
276,RB,Derrick Coleman,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.35,ATL,00-0029068
277,RB,Terron Ward,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.0,ATL,00-0031682
278,RB,Lawrence Thomas,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.667,NYJ,00-0032740
279,WR,Jalin Marshall,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.0,NYJ,
280,WR,Lucky Whitehead,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.0,NYJ,
281,WR,ArDarius Stewart,3000,ATL@NYJ 10/29/2017 01:00PM ET,1.3430000000000002,NYJ,00-0033916
282,WR,Chad Hansen,3000,ATL@NYJ 10/29/2017 01:00PM ET,0.0,NYJ,00-0033840
283,RB,Kyle Juszczyk,3000,SF@PHI 10/29/2017 01:00PM ET,4.62,SF,00-0029892
284,RB,Raheem Mostert,3000,SF@PHI 10/29/2017 01:00PM ET,0.28600000000000003,SF,00-0031687
285,WR,Marcus Johnson,3000,SF@PHI 10/29/2017 01:00PM ET,0.7,PHI,00-0032980
286,WR,Mack Hollins,3000,SF@PHI 10/29/2017 01:00PM ET,3.6289999999999996,PHI,00-0033555
287,WR,Shelton Gibson,3000,SF@PHI 10/29/2017 01:00PM ET,0.0,PHI,00-0033573
288,WR,Victor Bolden Jr.,3000,SF@PHI 10/29/2017 01:00PM ET,0.0,SF,00-0033306
289,WR,Kendrick Bourne,3000,SF@PHI 10/29/2017 01:00PM ET,0.0,SF,00-0033307
290,RB,Fozzy Whittaker,3000,CAR@TB 10/29/2017 01:00PM ET,2.233,CAR,00-0029731
291,WR,Kaelin Clay,3000,CAR@TB 10/29/2017 01:00PM ET,0.95,CAR,00-0032115
292,WR,Bernard Reedy,3000,CAR@TB 10/29/2017 01:00PM ET,0.55,TB,00-0030743
293,WR,Damiere Byrd,3000,CAR@TB 10/29/2017 01:00PM ET,0.3,CAR,00-0031868
294,RB,Cameron Artis-Payne,3000,CAR@TB 10/29/2017 01:00PM ET,0.0,CAR,00-0031599
295,RB,Peyton Barber,3000,CAR@TB 10/29/2017 01:00PM ET,0.8170000000000001,TB,00-0032741
296,WR,Chris Godwin,3000,CAR@TB 10/29/2017 01:00PM ET,2.1,TB,00-0033921
297,RB,Alex Armah,3000,CAR@TB 10/29/2017 01:00PM ET,0.0,CAR,00-0033296
298,RB,Jordan Todman,3000,HOU@SEA 10/29/2017 04:05PM ET,0.0,HOU,00-0028121
299,RB,Jay Prosch,3000,HOU@SEA 10/29/2017 04:05PM ET,0.467,HOU,00-0031085
300,TE,C.J. Fiedorowicz,3000,HOU@SEA 10/29/2017 04:05PM ET,8.6,HOU,00-0031302
301,WR,Braxton Miller,3000,HOU@SEA 10/29/2017 04:05PM ET,3.25,HOU,00-0033069
302,RB,Tre Madden,3000,HOU@SEA 10/29/2017 04:05PM ET,0.15,SEA,00-0032472
303,WR,Tanner McEvoy,3000,HOU@SEA 10/29/2017 04:05PM ET,-0.16699999999999998,SEA,00-0032475
304,WR,Amara Darboh,3000,HOU@SEA 10/29/2017 04:05PM ET,1.75,SEA,00-0033937
305,WR,Chris Thompson,3000,HOU@SEA 10/29/2017 04:05PM ET,0.9670000000000001,HOU,00-0033855
306,WR,Brian Quick,3000,DAL@WAS 10/29/2017 04:25PM ET,0.42,WAS,00-0029640
307,RB,Keith Smith,3000,DAL@WAS 10/29/2017 04:25PM ET,0.5,DAL,00-0030968
308,WR,Ryan Switzer,3000,DAL@WAS 10/29/2017 04:25PM ET,0.183,DAL,00-0033562
309,WR,Noah Brown,3000,DAL@WAS 10/29/2017 04:25PM ET,0.575,DAL,00-0033591
310,WR,Darrius Heyward-Bey,3000,PIT@DET 10/29/2017 08:30PM ET,0.8140000000000001,PIT,00-0026983
311,WR,Jared Abbrederis,3000,PIT@DET 10/29/2017 08:30PM ET,1.85,DET,00-0031021
312,WR,Justin Hunter,3000,PIT@DET 10/29/2017 08:30PM ET,1.55,PIT,00-0030521
313,RB,Roosevelt Nix,3000,PIT@DET 10/29/2017 08:30PM ET,0.0,PIT,
314,TE,Eric Ebron,3000,PIT@DET 10/29/2017 08:30PM ET,4.867,DET,00-0031387
315,WR,Eli Rogers,3000,PIT@DET 10/29/2017 08:30PM ET,2.48,PIT,00-0031782
316,RB,Terrell Watson,3000,PIT@DET 10/29/2017 08:30PM ET,0.114,PIT,00-0031793
317,RB,Tion Green,3000,PIT@DET 10/29/2017 08:30PM ET,0.0,DET,00-0033748
318,DST,Bills ,2900,OAK@BUF 10/29/2017 01:00PM ET,9.333,BUF,
319,TE,Antonio Gates,2900,LAC@NE 10/29/2017 01:00PM ET,4.414,LAC,00-0021547
320,TE,Coby Fleener,2900,CHI@NO 10/29/2017 01:00PM ET,6.683,NO,00-0029697
321,TE,O.J. Howard,2900,CAR@TB 10/29/2017 01:00PM ET,8.25,TB,00-0033879
322,DST,Steelers ,2900,PIT@DET 10/29/2017 08:30PM ET,9.857000000000001,PIT,
323,TE,David Njoku,2800,MIN@CLE 10/29/2017 09:30AM ET,7.386,CLE,00-0033885
324,DST,Raiders ,2800,OAK@BUF 10/29/2017 01:00PM ET,3.571,OAK,
325,DST,Panthers ,2800,CAR@TB 10/29/2017 01:00PM ET,7.428999999999999,CAR,
326,TE,Stephen Anderson,2800,HOU@SEA 10/29/2017 04:05PM ET,4.52,HOU,00-0032725
327,TE,Jesse James,2800,PIT@DET 10/29/2017 08:30PM ET,6.443,PIT,00-0032135
328,TE,Dwayne Allen,2700,LAC@NE 10/29/2017 01:00PM ET,0.0,NE,00-0029689
329,DST,Texans ,2700,HOU@SEA 10/29/2017 04:05PM ET,9.333,HOU,
330,TE,Seth DeValve,2600,MIN@CLE 10/29/2017 09:30AM ET,5.914,CLE,00-0033080
331,TE,Logan Thomas,2600,OAK@BUF 10/29/2017 01:00PM ET,1.75,BUF,00-0031260
332,DST,Buccaneers ,2600,CAR@TB 10/29/2017 01:00PM ET,6.0,TB,
333,TE,Luke Willson,2600,HOU@SEA 10/29/2017 04:05PM ET,4.95,SEA,00-0030089
334,DST,Lions ,2600,PIT@DET 10/29/2017 08:30PM ET,13.0,DET,
335,TE,Vance McDonald,2600,PIT@DET 10/29/2017 08:30PM ET,1.55,PIT,00-0030470
336,TE,Kevin McDermott,2500,MIN@CLE 10/29/2017 09:30AM ET,0.0,MIN,00-0029879
337,TE,Blake Bell,2500,MIN@CLE 10/29/2017 09:30AM ET,0.314,MIN,00-0032062
338,TE,Randall Telfer,2500,MIN@CLE 10/29/2017 09:30AM ET,0.629,CLE,00-0031533
339,TE,David Morgan,2500,MIN@CLE 10/29/2017 09:30AM ET,0.0,MIN,00-0032430
340,TE,Lee Smith,2500,OAK@BUF 10/29/2017 01:00PM ET,0.7709999999999999,OAK,00-0028097
341,TE,Clive Walford,2500,OAK@BUF 10/29/2017 01:00PM ET,0.371,OAK,00-0032256
342,TE,Khari Lee,2500,OAK@BUF 10/29/2017 01:00PM ET,0.0,BUF,00-0031922
343,TE,Clark Harris,2500,IND@CIN 10/29/2017 01:00PM ET,0.0,CIN,00-0025630
344,TE,Ryan Hewitt,2500,IND@CIN 10/29/2017 01:00PM ET,0.65,CIN,00-0030780
345,TE,Brandon Williams,2500,IND@CIN 10/29/2017 01:00PM ET,2.171,IND,00-0029793
346,TE,Erik Swoope,2500,IND@CIN 10/29/2017 01:00PM ET,0.0,IND,00-0030854
347,TE,C.J. Uzomah,2500,IND@CIN 10/29/2017 01:00PM ET,1.725,CIN,00-0032134
348,TE,Henry Krieger-Coble,2500,IND@CIN 10/29/2017 01:00PM ET,0.0,IND,00-0032523
349,TE,Cethan Carter,2500,IND@CIN 10/29/2017 01:00PM ET,0.0,CIN,00-0033338
350,TE,Darrell Daniels,2500,IND@CIN 10/29/2017 01:00PM ET,0.8,IND,00-0033258
351,DST,Chargers ,2500,LAC@NE 10/29/2017 01:00PM ET,8.571,LAC,
352,TE,Sean McGrath,2500,LAC@NE 10/29/2017 01:00PM ET,0.33299999999999996,LAC,00-0029391
353,TE,Sean Culkin,2500,LAC@NE 10/29/2017 01:00PM ET,0.0,LAC,00-0033696
354,TE,Jacob Hollister,2500,LAC@NE 10/29/2017 01:00PM ET,0.733,NE,00-0033386
355,DST,Bears ,2500,CHI@NO 10/29/2017 01:00PM ET,9.429,CHI,
356,TE,Andrew DePaola,2500,CHI@NO 10/29/2017 01:00PM ET,0.0,CHI,00-0029714
357,TE,Michael Hoomanawanui,2500,CHI@NO 10/29/2017 01:00PM ET,2.467,NO,00-0027732
358,TE,Josh Hill,2500,CHI@NO 10/29/2017 01:00PM ET,1.2,NO,00-0030216
359,TE,Dion Sims,2500,CHI@NO 10/29/2017 01:00PM ET,3.114,CHI,00-0030422
360,TE,Daniel Brown,2500,CHI@NO 10/29/2017 01:00PM ET,0.0,CHI,00-0032098
361,TE,Adam Shaheen,2500,CHI@NO 10/29/2017 01:00PM ET,1.0290000000000001,CHI,00-0033896
362,TE,Levine Toilolo,2500,ATL@NYJ 10/29/2017 01:00PM ET,0.85,ATL,00-0030443
363,TE,Eric Tomlinson,2500,ATL@NYJ 10/29/2017 01:00PM ET,2.5,NYJ,00-0031690
364,TE,Eric Saubert,2500,ATL@NYJ 10/29/2017 01:00PM ET,0.0,ATL,00-0033576
365,TE,Jordan Leggett,2500,ATL@NYJ 10/29/2017 01:00PM ET,0.0,NYJ,00-0033953
366,TE,Brent Celek,2500,SF@PHI 10/29/2017 01:00PM ET,0.7,PHI,00-0025549
367,TE,Logan Paulsen,2500,SF@PHI 10/29/2017 01:00PM ET,0.0,SF,00-0027215
