Player,Position,Team,Opponent,ESPN_FantasyPoints
Marvin Jones Jr.,WR,DET,Pit,11.2
DeShone Kizer,QB,CLE,Min,11.1
Ameer Abdullah,RB,DET,Pit,10.9
Bengals,DST,BENGALS,Ind,10.9
Bilal Powell,RB,NYJ,Atl,10.8
Rob Kelley,RB,WSH,Dal,10.8
Theo Riddick,RB,DET,Pit,10.7
DeVante Parker,WR,MIA,Bal,10.7
Austin Seferian-Jenkins,TE,NYJ,Atl,10.6
Latavius Murray,RB,MIN,Cle,10.5
LeGarrette Blount,RB,PHI,SF,10.5
James White,RB,NE,LAC,10.4
Mohamed Sanu,WR,ATL,NYJ,10.4
Frank Gore,RB,IND,Cin,10.3
Eagles,DST,EAGLES,SF,10.3
Jake Elliott,K,PHI,SF,10.3
Jalen Richard,RB,OAK,Buf,10.3
Kenny Golladay,WR,DET,Pit,10.3
Duke Johnson Jr.,RB,CLE,Min,10.2
Jeremy Maclin,WR,BAL,Mia,10.2
Will Fuller V,WR,HOU,Sea,10.2
Nelson Agholor,WR,PHI,SF,10.2
Jermaine Kearse,WR,NYJ,Atl,10.1
Stephen Gostkowski,K,NE,LAC,10
Matt Forte,RB,NYJ,Atl,9.9
Tarik Cohen,RB,CHI,NO,9.8
Jamison Crowder,WR,WSH,Dal,9.8
Robby Anderson,WR,NYJ,Atl,9.8
Bennie Fowler III,WR,DEN,KC,9.8
Alex Collins,RB,BAL,Mia,9.7
Jason Witten,TE,DAL,Wsh,9.6
Cameron Brate,TE,TB,Car,9.6
Jordan Matthews,WR,BUF,Oak,9.4
Tyler Lockett,WR,SEA,Hou,9.3
Jared Cook,TE,OAK,Buf,9.2
Zach Miller,TE,CHI,NO,9.2
Cole Beasley,WR,DAL,Wsh,9.2
Marquise Goodwin,WR,SF,Phi,9
Justin Tucker,K,BAL,Mia,9
Josh Doctson,WR,WSH,Dal,9
Harrison Butker,K,KC,Den,9
Dion Lewis,RB,NE,LAC,8.9
Nick Rose,K,WSH,Dal,8.8
