gameKey,season,day,month,time,weekDay,week,year,home,away,scoreHome,scoreAway,homeFirstDowns,homeTotalYards,homePassingYards,homeRushingYards,homePenaltyCount,homePenaltyYards,homeTurnovers,homePuntCount,homePuntYards,homePuntAvg,homePossessionTime,awayFirstDowns,awayTotalYards,awayPassingYards,awayRushingYards,awayPenaltyCount,awayPenaltyYards,awayTurnovers,awayPuntYards,awayPuntAvg,awayPossessionTime
54615,REG,22,11,1:00,Sun,11,2009,GB,SF,30,24,26,484,326,158,6,64,0,5,217,38,2499,11,284,215,69,4,30,1,5,259,45,1101
54616,REG,22,11,1:00,Sun,11,2009,JAC,BUF,18,15,19,310,208,102,6,50,2,5,224,41,2184,14,343,290,53,6,43,3,4,202,47,1416
54617,REG,22,11,1:00,Sun,11,2009,KC,PIT,27,24,13,282,214,68,4,28,1,6,287,39,1345,27,515,401,114,8,85,3,6,235,36,2647
54618,REG,22,11,1:00,Sun,11,2009,MIN,SEA,35,9,28,431,271,160,5,31,0,5,216,37,2531,10,212,208,4,10,64,2,7,359,44,1069
54619,REG,22,11,1:00,Sun,11,2009,NYG,ATL,34,31,26,456,368,88,8,64,1,3,123,33,1926,27,352,262,90,3,16,1,2,52,26,1908
54620,REG,22,11,1:00,Sun,11,2009,TB,NO,7,38,14,219,100,119,3,18,4,5,206,38,1656,21,370,187,183,4,55,0,4,195,46,1944
54621,REG,22,11,4:05,Sun,11,2009,STL,ARI,13,21,16,314,191,123,7,50,1,4,225,47,1702,24,444,261,183,6,40,2,5,202,37,1898
54622,REG,22,11,4:15,Sun,11,2009,DEN,SD,3,32,14,271,156,115,9,65,3,3,144,46,1328,21,348,145,203,1,15,0,3,132,34,2272
54623,REG,22,11,4:15,Sun,11,2009,NE,NYJ,31,14,27,410,299,111,6,51,1,6,201,29,2394,12,226,122,104,5,28,5,5,213,43,1206
54624,REG,22,11,4:15,Sun,11,2009,OAK,CIN,20,17,16,275,183,92,3,13,3,4,202,41,1296,23,348,171,177,8,59,4,4,199,41,2304
54625,REG,22,11,8:20,Sun,11,2009,CHI,PHI,20,24,14,284,158,126,7,64,1,6,272,36,1743,18,377,220,157,8,46,3,5,169,31,1857
54626,REG,23,11,8:30,Mon,11,2009,HOU,TEN,17,20,17,340,283,57,7,72,0,5,236,43,1661,22,344,116,228,5,25,1,4,176,42,1939
