,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
187,QB,Drew Stanton,4000,ARI@LAR 10/22/2017 01:00PM ET,0.0,ARI,00-0025430
188,WR,Robert Woods,4000,ARI@LAR 10/22/2017 01:00PM ET,9.5,LA,00-0030431
189,WR,J.J. Nelson,4000,ARI@LAR 10/22/2017 01:00PM ET,10.283,ARI,00-0032112
190,QB,Brandon Allen,4000,ARI@LAR 10/22/2017 01:00PM ET,0.0,LA,00-0032434
191,QB,Bryce Petty,4000,NYJ@MIA 10/22/2017 01:00PM ET,0.0,NYJ,00-0031568
192,RB,Kenyan Drake,4000,NYJ@MIA 10/22/2017 01:00PM ET,0.8,MIA,00-0033118
193,QB,Christian Hackenberg,4000,NYJ@MIA 10/22/2017 01:00PM ET,0.0,NYJ,00-0032953
194,QB,Ryan Mallett,4000,BAL@MIN 10/22/2017 01:00PM ET,5.44,BAL,00-0028012
195,RB,Latavius Murray,4000,BAL@MIN 10/22/2017 01:00PM ET,2.9330000000000003,MIN,00-0030513
196,QB,Teddy Bridgewater,4000,BAL@MIN 10/22/2017 01:00PM ET,0.0,MIN,00-0031237
197,QB,Kyle Sloter,4000,BAL@MIN 10/22/2017 01:00PM ET,0.0,MIN,00-0033672
198,RB,Alex Collins,4000,BAL@MIN 10/22/2017 01:00PM ET,6.3,BAL,00-0032426
199,QB,Jeff Driskel,4000,CIN@PIT 10/22/2017 04:25PM ET,0.0,CIN,00-0032436
200,QB,Joshua Dobbs,4000,CIN@PIT 10/22/2017 04:25PM ET,0.0,PIT,00-0033949
201,QB,Kellen Moore,4000,DAL@SF 10/22/2017 04:05PM ET,0.0,DAL,00-0029234
202,QB,Kellen Clemens,4000,DEN@LAC 10/22/2017 04:25PM ET,0.0,LAC,00-0024264
203,RB,Branden Oliver,4000,DEN@LAC 10/22/2017 04:25PM ET,3.2,LAC,00-0031277
204,WR,Tyrell Williams,4000,DEN@LAC 10/22/2017 04:25PM ET,9.45,LAC,00-0032160
