,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
1005,Josh Reynolds,WR,LA,Ari,0,00-0033943
1006,Josh Malone,WR,CIN,Pit,0,00-0033859
1007,Malachi Dupre,WR,GB,NO,0,
1008,Rodney Adams,WR,MIN,Bal,0,00-0033957
1009,Michael Roberts,TE,DET,** BYE **,--,00-0033559
1010,Joshua Dobbs,QB,PIT,Cin,0,00-0033949
1011,Jordan Leggett,TE,NYJ,Mia,0,00-0033953
1012,Jake Butt,TE,DEN,LAC,0,
1013,Deshaun Watson,QB,HOU,** BYE **,--,00-0033537
1014,Mason Schreck,TE,CIN,Pit,0,00-0033798
1015,Jeremy Sprinkle,TE,WSH,Phi,0,00-0033528
1016,Dalvin Cook,RB,MIN,Bal,0,00-0033893
1017,David Moore,WR,SEA,NYG,0,
1018,T.J. Logan,RB,ARI,LAR,0,00-0033789
1019,Carlos Henderson,WR,DEN,LAC,0,00-0033919
1020,Robert Davis,WR,WSH,Phi,0,
1021,Shelton Gibson,WR,PHI,Wsh,0,00-0033573
1022,Dede Westbrook,WR,JAX,Ind,0,00-0033839
1023,Isaiah McKenzie,WR,DEN,LAC,0,00-0033466
1024,Corey Davis,WR,TEN,Cle,0,00-0033871
1025,Bucky Hodges,TE,MIN,Bal,0,
1026,Sam Rogers,RB,LA,Ari,0,
1027,Isaiah Ford,WR,MIA,NYJ,0,00-0033471
1028,Devante Mays,RB,GB,NO,0,00-0033304
1029,Chris Carson,RB,SEA,NYG,0,00-0033594
1030,Kenny Golladay,WR,DET,** BYE **,--,00-0033932
1031,Eric Saubert,TE,ATL,NE,0,00-0033576
1032,Joe Williams,RB,SF,Dal,0,00-0033286
1033,Khalfani Muhammad,RB,TEN,Cle,0,
1034,Jeremy McNichols,RB,TB,Buf,0,
1035,DeAngelo Yancey,WR,GB,NO,0,
1036,Davis Webb,QB,NYG,Sea,0,00-0033550
1037,Brian Hill,RB,ATL,NE,0,
1038,Freddie Stevenson,RB,CHI,Car,0,
1039,Jace Billingsley,WR,DET,** BYE **,--,
